title,country_netflix,date_added_netflix,country_hulu,date_added_hulu,country_disney,date_added_disney,country_amazon,date_added_amazon,director,cast,release_year,rating,duration,listed_in,type
Wakefield,United States,"March 2, 2019",,"October 18, 2021",,,,,Robin Swicord,"Bryan Cranston, Jennifer Garner, Jason O'Mara, Beverly D'Angelo, Ian Anthony Dale, Pippa Bennett-Warner, Isaac Leyva, Victoria Bruno, Ellery Sprayberry, Tracey Walter",2016,R,109 min,Dramas,Movie
Women Behind Bars,United States," November 1, 2016",,"October 23, 2020",,,,,,,2010,TV-14,3 Seasons,"Crime TV Shows, Docuseries",TV Show
XX,"Canada, United States","June 22, 2017","Canada, United States, Mexico","June 22, 2020",,,,,"Jovanka Vuckovic, Annie Clark, Roxanne Benjamin, Karyn Kusama","Natalie Brown, Jonathan Watton, Melanie Lynskey, Lindsay Burdge, Sheila Vand, Casey Adams, Breeda Wool, Angela Trimbur, Morgan Krantz, Christina Kirk, Kyle Allen, Mike Doyle",2017,R,81 min,Horror Movies,Movie
Young Adult,United States,"November 20, 2019",United States,"June 1, 2021",,,,,Jason Reitman,"Charlize Theron, Patton Oswalt, Patrick Wilson, Elizabeth Reaser, Jill Eikenberry, Mary Beth Hurt, Collette Wolfe, Richard Bekins, Kate Nowlin",2011,R,94 min,"Comedies, Dramas, Independent Movies",Movie
Yu-Gi-Oh! Arc-V,"Japan, Canada","May 1, 2018",,"March 15, 2020",,,,,,"Mike Liscio, Emily Bauer, Billy Bob Thompson, Alyson Leigh Rosenfeld, Michael Crouch",2015,TV-Y7,2 Seasons,"Anime Series, Kids' TV",TV Show
Q-Force,United States,"September 2, 2021",,,United States,"March 15, 2020",,,,"Sean Hayes, Wanda Sykes, Laurie Metcalf, David Harbour, Gary Cole, Patti Harrison, Matt Rogers",2021,TV-MA,1 Season,"Crime TV Shows, TV Action & Adventure, TV Comedies",TV Show
Once Upon a Time in America,"Italy, United States","September 1, 2021",,,"Canada, United States","November 27, 2020",,,Sergio Leone,"Robert De Niro, James Woods, Elizabeth McGovern, Treat Williams, Tuesday Weld, Burt Young, Joe Pesci, Danny Aiello, William Forsythe, James Hayden",1984,R,229 min,"Classic Movies, Dramas",Movie
The Swarm,France,"August 6, 2021",,,United States,"November 12, 2019",,,Just Philippot,"Suliane Brahim, Sofian Khammes, Marie Narbonne, Raphaël Romand, Stéphan Castang, Victor Bonnel, Christian Bouillette, Renan Prévot, Vincent Deniard",2021,TV-14,102 min,"Horror Movies, Independent Movies, International Movies",Movie
Deep Blue Sea,"United States, Mexico","August 1, 2021",,,"United Kingdom, Germany","November 12, 2019",,,Renny Harlin,"Thomas Jane, Saffron Burrows, Samuel L. Jackson, Jacqueline McKenzie, Michael Rapaport, Stellan Skarsgård, LL Cool J, Aida Turturro, Cristos, Daniel Rey",1999,R,105 min,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",Movie
Fantastic Fungi,United States,"July 28, 2021",,,"United States, Germany","August 13, 2021",,,Louie Schwartzberg,,2019,TV-14,81 min,Documentaries,Movie
Larva,Russia,"July 6, 2021",,,United States,"November 12, 2019",,,,,2015,TV-Y7,3 Seasons,"Kids' TV, Korean TV Shows, TV Comedies",TV Show
Into the Wind,,"June 26, 2021",,,United States,"December 18, 2020",,,Sofie Šustková,"Vladimír Polívka, Jenovéfa Boková, Matyáš Řezníček",2018,TV-MA,76 min,"Dramas, Independent Movies, International Movies",Movie
The Last Dance,United States,"June 19, 2021",,,United States,"April 2, 2021",,,,"Michael Jordan, Scottie Pippen, Dennis Rodman",2020,TV-MA,1 Season,Docuseries,TV Show
The Wind,United States,"June 2, 2021",,,"Canada, United States","November 12, 2019",,,Emma Tammi,"Caitlin Gerard, Julia Goldani Telles, Ashley Zukerman, Miles Anderson, Dylan McTee",2019,R,88 min,Horror Movies,Movie
The Neighbor,Spain,"May 21, 2021",,,United States,"April 3, 2020",,,,"Quim Gutiérrez, Clara Lago, Adrián Pino, Catelina Sopelana",2021,TV-MA,2 Seasons,"International TV Shows, Spanish-Language TV Shows, TV Comedies",TV Show
PJ Masks,"France, United Kingdom","April 19, 2021",,,"France, United Kingdom","October 20, 2021",,,,"Jacob Ewaniuk, Kyle Breitkopf, Addison Holley",2019,TV-Y,3 Seasons,Kids' TV,TV Show
Wild Child,"United States, United Kingdom, France","April 2, 2021",,,United Kingdom,"July 17, 2020",,,Nick Moore,"Emma Roberts, Kimberley Nixon, Juno Temple, Linzey Cocker, Sophie Wu, Alex Pettyfer, Georgia King, Natasha Richardson, Aidan Quinn, Lexi Ainsworth",2008,PG-13,98 min,"Comedies, Romantic Movies",Movie
Into the Wild,United States,"January 1, 2021",,,United States,"December 18, 2020",,,Sean Penn,"Emile Hirsch, Marcia Gay Harden, William Hurt, Jena Malone, Brian Dierker, Catherine Keener, Vince Vaughn, Kristen Stewart, Hal Holbrook, Zach Galifianakis",2007,R,148 min,"Action & Adventure, Dramas, Independent Movies",Movie
Home for Christmas,Norway,"December 18, 2020",,,"United States, Canada","November 12, 2019",,,,"Ida Elise Broch, Gabrielle Susanne Solheim Leithaug, Dennis Storhøi, Anette Hoff, Felix Sandman, Ghita Nørby, Hege Schøyen, Bjørn Skagestad, Mads Sjøgård Pettersen",2020,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies",TV Show
Braven,Canada,"December 17, 2020",,,"United States, United Kingdom","November 12, 2019",,,Lin Oeding,"Jason Momoa, Garret Dillahunt, Jill Wagner, Stephen Lang, Sasha Rosoff, Sala Baker, Fraser Aitcheson, Teach Grant, Glenn Ennis, Todd Scott, Zahn McClarnon, Brendan Fletcher",2018,R,94 min,Action & Adventure,Movie
Alice in Borderland,Japan,"December 10, 2020",,,United States,"November 12, 2019",,,,"Kento Yamazaki, Tao Tsuchiya, Nijiro Murakami, Yuki Morinaga, Keita Machida, Ayaka Miyoshi, Dori Sakurada, Aya Asahina, Shuntaro Yanagi, Yutaro Watanabe, Ayame Misaki, Mizuki Yoshida, Tsuyoshi Abe, Nobuaki Kaneko, Sho Aoyagi, Riisa Naka",2020,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Mysteries",TV Show
Once Upon a Time,Egypt,"December 9, 2020",,,United States,"September 18, 2020",,,,"Ruby, Mohamed Farraag, Ahmed Dawood, Sawsan Badr, Arwa Gouda, Hesham Ismail, Ali Al Tayeb, Mahmoud El-Bezzawy, Heba Abdelghany, Hany Seif",2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",TV Show
Fantastica,Philippines,"November 26, 2020",,,United States,"November 12, 2019",,,Barry Gonzalez,"Vice Ganda, Richard Gutierrez, Dingdong Dantes, Bela Padilla",2018,TV-PG,114 min,"Comedies, International Movies, LGBTQ Movies",Movie
The Legend of Korra,United States,"August 14, 2020",,,United States,"November 12, 2019",,,,"Janet Varney, David Faustino, P.J. Byrne, J.K. Simmons, Dee Bradley Baker, Seychelle Gabriel, Logan Wells, Jeff Bennett, Kiernan Shipka",2014,TV-Y7,4 Seasons,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",TV Show
Gigantosaurus,France,"July 18, 2020",,,France,"August 25, 2021",,,,,2019,TV-Y,1 Season,Kids' TV,TV Show
Destiny,"France, Egypt","June 19, 2020",,,"France, United States","January 10, 2020",,,Youssef Chahine,"Nour El-Sherif, Laila Elwi, Mahmoud Hemeida, Safia el-Emari, Mohamed Mounir, Khaled El Nabawy, Seif Abdelrahman, Abdalla Mahmoud, Ahmed Fouad Selim, Magdi Idris",1997,TV-14,136 min,"Dramas, International Movies",Movie
Underdogs,"Argentina, Spain","June 15, 2020",,,United States,"August 27, 2021",,,Juan José Campanella,"Ariana Grande, Nicholas Hoult, Matthew Morrison, Eugenio Derbez, Taran Killam, Bobby Moynihan, Bella Thorne, Jay Pharoah, Dan Patrick, Shawn Mendes, Brooklyn Beckham, Chazz Palminteri, John Leguizamo, Mel Brooks, Rupert Grint, Rob Brydon, Anthony Head, Ralf Little, Eve Ponsonby, Peter Serafinowicz, Alex Norton, Alistair McGowan, Ezequiel Cipols",2013,PG,85 min,"Children & Family Movies, Sports Movies",Movie
Becoming,United States,"May 6, 2020",,,United States,"September 18, 2020",,,Nadia Hallgren,Michelle Obama,2020,PG,89 min,Documentaries,Movie
Miraculous: Tales of Ladybug & Cat Noir,"France, South Korea, Japan, United States","February 1, 2020",,,"France, South Korea, Japan, United States","September 15, 2021",,,Thomas Astruc,"Cristina Vee, Bryce Papenbrook, Keith Silverstein, Mela Lee, Max Mittelman, Carrie Keranen, Stephanie Sheh, André Gordon, Matthew Mercer, Christopher Corey Smith, Philece Sampler, Selah Victor, Marieve Herington, Ben Diskin, Kira Buckland, Erin Fitzgerald, Grant George, Ethan Murray, David Roach, Todd Haberkorn",2019,TV-Y7,5 Seasons,"Kids' TV, TV Action & Adventure",TV Show
Riot,,"January 1, 2020",,,"United States, Brazil","April 16, 2021",,,John Lyde,"Matthew Reese, Dolph Lundgren, Danielle Chuchran, Chuck Liddell, Michael Flynn, Renny Grames, Eve Mauro, Melanie Stone, Michaela McAllister, Amy Sturdivant",2015,TV-MA,88 min,Action & Adventure,Movie
First Kiss,Netherlands,"October 1, 2019",,,United States,"November 12, 2019",,,Roy Poortmans,"Vajèn van den Bosch, Buddy Vedder, Leontine Borsato, Caroline de Bruijn, Stijn Fransen, Marije Zuurveld",2018,TV-14,90 min,"Dramas, International Movies, Romantic Movies",Movie
DJ Cinderella,Brazil,"June 14, 2019",,,United States,"November 12, 2019",,,Bruno Garotti,"Maísa Silva, Filipe Bragança, Fernanda Paes Leme, Miriam Freeland, Marcelo Valle, Elisa Pinheiro, Sérgio Malheiros, Giovanna Grigio, Bárbara Maia, Letícia Pedro, Kiria Malheiros, Leo Cidade, Matheus Costa, Isabel Fillardis, Selma Lopes",2019,TV-PG,95 min,"Children & Family Movies, Comedies",Movie
A Tale of Two Kitchens,"United States, Mexico","May 22, 2019",,,United States,"April 3, 2020",,,Trisha Ziff,,2019,TV-PG,30 min,"Documentaries, International Movies",Movie
What If?,,"May 7, 2019",,,,"August 11, 2021",,,,"Monther Rayahnah, Khaled Ameen, Aseel Omran, Rawan Mahdi, Ali Al-Husseini, Abdullah Al-Turkumani",2019,TV-14,1 Season,"International TV Shows, TV Dramas",TV Show
Beauty and the Bestie,Philippines,"February 27, 2019",,,United States,"August 21, 2020",,,Wenn V. Deramas,"Vice Ganda, Coco Martin, James Reid, Nadine Lustre, Karla Estrada, Ryan Bang, Badjie Mortiz, Alonzo Muhlach, Marco Masa, Lassy Marquez, MC Calaquian",2015,TV-14,119 min,"Action & Adventure, Comedies, International Movies",Movie
Genius,India,"February 17, 2019",,,United States,"November 12, 2019",,,Suseenthiran,"Roshan, Priyaa Lal, Aadukalam Naren, Singam Puli, Meera Krishnan, Jayaprakash",2018,TV-14,96 min,"Dramas, Independent Movies, International Movies",Movie
Up Among  The Stars,Spain,"January 29, 2019",,,,"October 6, 2021",,,Zoe Berriatúa,"Luis Callejo, Jorge Andreu, Macarena Gómez, Magüi Mira, Álvaro Roig, María Morales, José Luis García Pérez, Kiti Mánver, Ingrid García Jonsson, Liz Lobato",2018,TV-MA,86 min,"Dramas, International Movies, Sci-Fi & Fantasy",Movie
The Pixar Story,United States,"November 18, 2018",,,United States,"November 19, 2021",,,Leslie Iwerks,Stacy Keach,2007,G,89 min,Documentaries,Movie
Gnome Alone,"United Kingdom, Canada, United States, Cayman Islands","October 19, 2018",,,United States,"November 13, 2020",,,Peter Lepeniotis,"Becky G., Josh Peck, Tara Strong, Olivia Holt, David Koechner, Jeff Dunham, Patrick Stump, Nash Grier, Madison De La Garza, George Lopez",2018,PG,86 min,"Children & Family Movies, Comedies",Movie
The Blue Umbrella,India,"August 2, 2018",,,United States,"November 12, 2019",,,Vishal Bhardwaj,"Pankaj Kapur, Shreya Sharma, Dolly Ahluwalia, Deepak Dobriyal, Rahul Kumar, Paramjit Singh Kakran, Piu Dutt, Samrat Mukherjee",2005,TV-PG,90 min,"Children & Family Movies, Dramas, Independent Movies",Movie
Invisible,"Argentina, France","August 1, 2018",,,United States,"November 12, 2019",,,Pablo Giorgelli,"Mora Arenillas, Mara Bestelli, Diego Cremonesi",2017,TV-MA,87 min,"Dramas, Independent Movies, International Movies",Movie
White Fang,"France, Luxembourg, United States","July 6, 2018",,,United States,"November 12, 2019",,,Alexandre Espigares,"Nick Offerman, Rashida Jones, Paul Giamatti, Eddie Spears, David Boat, Sean Kenin, Raquel Antonia, Daniel Hagen, Stephen Kramer Glickman, William Calvert, Jason Grasl, Armando Riesco",2018,TV-PG,88 min,"Children & Family Movies, Dramas",Movie
Inspector Gadget,"Canada, United States, France","May 18, 2018",,,United States,"November 12, 2019",,,,"Ivan Sherry, Tara Strong, Martin Roach, Scott McCord, Lyon Smith, Derek McGrath",2017,TV-Y7,4 Seasons,"Crime TV Shows, Kids' TV, TV Comedies",TV Show
Secret of the Nile,Egypt,"March 15, 2018",,,,"April 22, 2021",,,,"Amr Youssef, Dina El-Sherbiny, Anoushka, Amina Khalil, Nada Mousa, Sawsan Badr, Ahmed Dawood",2016,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Dramas",TV Show
The Art of Loving,Poland,"March 15, 2018",,,United States,"November 12, 2019",,,Maria Sadowska,"Magdalena Boczarska, Eryk Lubos, Justyna Wasilewska, Piotr Adamczyk, Arkadiusz Jakubik, Wojciech Mecwaldowski, Borys Szyc, Katarzyna Kwiatkowska, Artur Barciś",2017,TV-MA,115 min,"Dramas, International Movies",Movie
Gerald's Game,United States,"September 29, 2017",,,United States,"November 12, 2019",,,Mike Flanagan,"Carla Gugino, Bruce Greenwood, Henry Thomas, Carel Struycken, Chiara Aurelia",2017,TV-MA,103 min,"Horror Movies, Thrillers",Movie
The Bad Batch,United States,"September 22, 2017",,,,"May 4, 2021",,,Ana Lily Amirpour,"Suki Waterhouse, Jason Momoa, Keanu Reeves, Jim Carrey, Giovanni Ribisi, Yolonda Ross",2016,R,119 min,"Dramas, Independent Movies, Thrillers",Movie
Growing Up Wild,United States,"February 19, 2017",,,,"August 18, 2021",,,Keith Scholey,Daveed Diggs,2016,G,78 min,"Children & Family Movies, Documentaries",Movie
Zapped,"Canada, United States","February 1, 2017",,,"Canada, United States","November 12, 2019",,,Peter DeLuise,"Zendaya, Chanelle Peloso, Spencer Boldman, Emilia McCarthy, Adam DiMarco, William Ainscough, Aleks Paunovic, Lucia Walters",2014,TV-Y,92 min,"Children & Family Movies, Comedies",Movie
A Wrinkle in Time,United States,"September 25, 2018",,,United States,"March 25, 2020",,,Ava DuVernay,"Storm Reid, Oprah Winfrey, Reese Witherspoon, Mindy Kaling, Deric McCabe, Levi Miller, Chris Pine, Gugu Mbatha-Raw, Zach Galifianakis, Michael Peña, Bellamy Young, André Holland, Will McCormack, Rowan Blanchard, Daniel MacPherson",2018,PG,110 min,Children & Family Movies,Movie
Amy,United Kingdom,"July 26, 2018",,,United States,"November 12, 2019",,,Asif Kapadia,"Amy Winehouse, Lauren Gilbert",2015,R,128 min,"Documentaries, International Movies, Music & Musicals",Movie
Beauty & the Beast,Canada,"September 19, 2016",,,United States,"August 21, 2020",,,,"Kristin Kreuk, Jay Ryan, Max Brown, Austin Basis, Nina Lisandrello, Brian White, Sendhil Ramamurthy",2016,TV-14,4 Seasons,"Crime TV Shows, Romantic TV Shows, TV Dramas",TV Show
Beauty and the Bitches,,"April 23, 2019",,,United States,"August 21, 2020",,,,"Methinee Kingpayome, Son Songpaisarn, Yingying Sarucha, Pim Pimjira Jaroenlak, Jespipat Tilapornputt, Groupz Chutharut Anusin, Aon Korakot Tunkaew, Raviyanun Takerd, Nat Thephussadin Na Ayutthaya, Bam Pakakanya Charoenyos, Eye Warapairin Laphatsanitirot, Pemy Peramin Thabkaew, Darin Hansen, Hongyok Pornphan Rerkatakarn, Rattanapond Klinkulabhiran, Oliver Pupart, Organ Wacharapolmek, Patiparn Pataweekarn, Yuthana Puengklarng, Ak Akarat, Point Cholawit Meetongcom, Copter Phumin, Koii Korakod, Mila Thanapa, Mild Anis Suwit",2016,TV-MA,2 Seasons,"International TV Shows, Romantic TV Shows, TV Comedies",TV Show
Bedtime Stories,United States,"March 5, 2019",,,United States,"March 5, 2020",,,Adam Shankman,"Adam Sandler, Keri Russell, Guy Pearce, Russell Brand, Richard Griffiths, Jonathan Pryce, Courteney Cox, Lucy Lawless, Teresa Palmer, Aisha Tyler, Laura Ann Kesling, Jackie Sandler, Lorna Scott, Dana Min Goodman, Andrew Collins, Jonathan Loughran, Jonathan Morgan Heit, Nick Swardson, Tim Herlihy, Billy Tyler, Johntae Lipscomb, Mikey Post, Sebastian Saraceno, Bill Romanowski, Sadie Sandler, Carmen Electra, Allen Covert, Kathryn Joosten, Annalise Basso, Blake Clark, Julia Lea Wolov, Sarah G. Buxton",2008,PG,100 min,"Children & Family Movies, Comedies",Movie
Before the Flood,United States,"February 1, 2018",,,United States,"November 12, 2019",,,Fisher Stevens,Leonardo DiCaprio,2016,PG,97 min,Documentaries,Movie
Bolt,United States,"July 22, 2018",,,United States,"November 12, 2019",,,"Byron Howard, Chris Williams","John Travolta, Miley Cyrus, Susie Essman, Mark Walton, Malcolm McDowell, James Lipton, Greg Germann, Diedrich Bader, Nick Swardson, J.P. Manoux, Dan Fogelman, Kari Wahlgren, Chloë Grace Moretz, Randy Savage, Ronn Moss, John DiMaggio, Daran Norris, Jeff Bennett, Brian Stepanek, Todd Cummings",2008,PG,99 min,"Children & Family Movies, Comedies",Movie
Brain Games,United States," March 15, 2019",,,United States,"April 17, 2020",,,,Jason Silva,2016,TV-G,3 Seasons,"Docuseries, Science & Nature TV",TV Show
Chicken Little,United States,"March 16, 2016",,,United States,"November 12, 2019",,,Mark Dindal,"Zach Braff, Joan Cusack, Patrick Stewart, Steve Zahn, Catherine O'Hara, Harry Shearer, Adam West, Don Knotts, Amy Sedaris, Garry Marshall, Patrick Warburton, Fred Willard, Wallace Shawn",2005,G,82 min,"Children & Family Movies, Comedies",Movie
Christopher Robin,United States,"March 5, 2019",,,"United Kingdom, United States","September 11, 2020",,,Marc Forster,"Ewan McGregor, Hayley Atwell, Bronte Carmichael, Mark Gatiss, Jim Cummings, Brad Garrett, Nick Mohammed, Peter Capaldi",2018,PG,104 min,"Children & Family Movies, Comedies, Dramas",Movie
Day and Night,China,"March 23, 2018",,,United States,"November 12, 2019",,,,"Pan Yueming, Wang Longzheng, Liang Yuen, Lü Xiaolin, Yin Shuyi, Hou Xuelong, Song Naigang",2017,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas",TV Show
First Kill,"United Kingdom, Canada, United States","September 1, 2019",,,United States,"November 12, 2019",,,Steven C. Miller,"Hayden Christensen, Bruce Willis, Gethin Anthony, Megan Leonard, Tyler Jon Olson, Shea Buckner, William DeMeo, Magi Avila, Ty Shelton, Christine Dye",2017,R,102 min,Action & Adventure,Movie
For the Birds,United States,"September 1, 2019",,,United States,"November 12, 2019",,,Richard Miron,Kathy Murphy,2018,TV-MA,93 min,Documentaries,Movie
Frozen River,United States,"July 1, 2019",,,United States,"November 12, 2021",,,Courtney Hunt,"Melissa Leo, Misty Upham, Charlie McDermott, Michael O'Keefe, Mark Boone Junior, James Reilly, Jay Klaitz, John Canoe, Dylan Carusona, Michael Sky",2008,R,97 min,"Dramas, Independent Movies",Movie
G-Force,United States,"March 15, 2019",,,United States,"March 15, 2020",,,Hoyt Yeatman,"Bill Nighy, Will Arnett, Zach Galifianakis, Kelli Garner, Tyler Patrick Jones, Piper Mackenzie Harris, Gabriel Casseus, Jack Conley, Niecy Nash, Justin Mentell, Nicolas Cage, Sam Rockwell, Jon Favreau, Penélope Cruz, Steve Buscemi, Tracy Morgan",2009,PG,88 min,"Children & Family Movies, Comedies",Movie
Gender Revolution: A Journey with Katie Couric,United States,"February 1, 2018",,,United States,"December 11, 2020",,,,Katie Couric,2017,TV-PG,90 min,"Documentaries, LGBTQ Movies",Movie
George of the Jungle 2,"United States, Australia","December 20, 2016",,,United States,"May 1, 2020",,,David Grossman,"Christopher Showerman, Julie Benz, Angus T. Jones, Thomas Haden Church, Christina Pickles, John Cleese, Michael Clarke Duncan, John Kassir, Kevin Greutert, Keith Scott",2003,PG,87 min,"Children & Family Movies, Comedies",Movie
Goldie & Bear,United States," October 31, 2018",,,United States,"November 6, 2020",,,,"Natalie Lander, Georgie Kidder",2017,TV-Y,2 Seasons,Kids' TV,TV Show
Iron Man & Captain America: Heroes United,United States,"October 12, 2014",,,United States,"October 16, 2020",,,Leo Riley,"Adrian Pasdar, Roger Craig Smith, Fred Tatasciore, David Kaye, Clancy Brown, Liam O'Brien, Robin Atkin Downes, Dee Bradley Baker",2014,PG,71 min,"Children & Family Movies, Sci-Fi & Fantasy",Movie
Iron Man: Armored Adventures,"Canada, United States, United Kingdom, France, Luxembourg","August 1, 2020",,,"Canada, United States, United Kingdom, France, Luxembourg","November 12, 2019",,,,"Adrian Petriw, Daniel Bacon, Anna Cummer, Vincent Tong, Kristie Marsden, Mackenzie Gray, Lisa Ann Beley, Alistair Abell, Catherine Lough Haggquist, Fred Henderson",2011,TV-Y7,2 Seasons,Kids' TV,TV Show
John Carter,United States,"May 2, 2019",,,United States,"May 2, 2020",,,Andrew Stanton,"Taylor Kitsch, Lynn Collins, Samantha Morton, Willem Dafoe, Thomas Haden Church, Mark Strong, Ciarán Hinds, Dominic West, James Purefoy, Bryan Cranston, Polly Walker, Daryl Sabara, Art Malik, Eileen Page, Amanda Clayton, Davood Ghadami, Daniel O'Meara, Jill Baker, Josh Daugherty, Oliver Boot, Philip Arditti, Arkie Reece, Joe Billingiere, Don Stark, Darwin Shaw, Figs Jackman, David Schwimmer, Emma Clifford, Christopher Goodman, Cate Fowler, Sean Carrigan, Dusty Sorg, Steven Cree, Phil Cheadle, Holly Weston, Nicholas Woodeson, Rupert Frazer, Edmund Kente",2012,PG-13,133 min,"Action & Adventure, Sci-Fi & Fantasy",Movie
Liv and Maddie,United States,"April 23, 2017",,,United States,"April 23, 2021",,,,"Dove Cameron, Joey Bragg, Tenzing Norgay Trainor, Kali Rocha, Benjamin King",2017,TV-G,4 Seasons,"Kids' TV, TV Comedies",TV Show
Marvel's Iron Man & Hulk: Heroes United,United States,"February 16, 2014",,,United States,"February 16, 2020",,,"Leo Riley, Eric Radomski","Adrian Pasdar, Fred Tatasciore, Dee Bradley Baker, Robin Atkin Downes, David Kaye",2013,PG,72 min,"Action & Adventure, Sci-Fi & Fantasy",Movie
Mary Poppins Returns,"United States, United Kingdom","July 9, 2019",,,"United States, United Kingdom","January 15, 2021",,,Rob Marshall,"Emily Blunt, Lin-Manuel Miranda, Ben Whishaw, Emily Mortimer, Pixie Davies, Nathanael Saleh, Joel Dawson, Julie Walters, Meryl Streep, Colin Firth, Dick Van Dyke",2018,PG,131 min,"Children & Family Movies, Music & Musicals",Movie
Miracle,"Canada, United States","June 1, 2018",,,"Canada, United States","November 12, 2019",,,Gavin O'Connor,"Kurt Russell, Patricia Clarkson, Noah Emmerich, Sean McCann, Kenneth Welsh, Eddie Cahill, Patrick O'Brien Demsey, Michael Mantenuto, Nathan West, Kenneth Mitchell, Sam Skoryna, Billy Schneider, Michael Kopsa, Beverley Breuer, Lisa Marie Caruk, Ryan Walter, Nate Miller, Joseph Cure, Scott Johnson, Eric Peter-Kaiser, Bobby Hanson",2004,PG,136 min,"Children & Family Movies, Dramas, Sports Movies",Movie
Muppets Most Wanted,United States,"September 1, 2020",,,United States,"November 12, 2019",,,James Bobin,"Ricky Gervais, Ty Burrell, Tina Fey, Kermit the Frog, Miss Piggy, Fozzie Bear, Gonzo, Muppets, Steve Whitmire, Eric Jacobson, Dave Goelz, Bill Barretta, David Rudman, Matt Vogel, Peter Linz",2014,PG,110 min,"Children & Family Movies, Comedies",Movie
National Treasure,United States,"June 1, 2018",,,United States,"April 30, 2020",,,Jon Turteltaub,"Nicolas Cage, Diane Kruger, Justin Bartha, Sean Bean, Jon Voight, Harvey Keitel, Christopher Plummer",2004,PG,131 min,"Action & Adventure, Children & Family Movies",Movie
Once Upon a Time in London,United Kingdom,"April 15, 2020",,,"Canada, United States","November 27, 2020",,,Simon Rumley,"Leo Gregory, Terry Stone, Doug Allen, Andy Beckwith, Kate Braithwaite, Holly Earl, Joe Egan, Nadia Forde",2019,TV-MA,111 min,"Dramas, International Movies",Movie
One Strange Rock,United States,"February 2, 2019",,,United States,"January 1, 2020",,,,Will Smith,2018,TV-PG,1 Season,"Docuseries, Science & Nature TV",TV Show
Paranormal Survivor,Canada," August 4, 2017",,,United States,"April 16, 2021",,,,,2016,TV-14,2 Seasons,Docuseries,TV Show
Pick of the Litter,United States,"August 2, 2020",,,United States,"December 20, 2019",,,"Dana Nachman, Don Hardy Jr.",,2018,TV-PG,81 min,"Children & Family Movies, Documentaries",Movie
Race to Witch Mountain,United States,"July 1, 2019",,,United States,"July 3, 2020",,,Andy Fickman,"Dwayne Johnson, AnnaSophia Robb, Alexander Ludwig, Carla Gugino, Ciarán Hinds, Tom Everett Scott, Chris Marquette, Billy Brown, Christine Lakin, Tom Woodruff Jr., John Kassir, Garry Marshall, John Duff, Ted Hartley, Dave Engfer, Bob Clendenin, Shengyi Huang, Robert Torti, Kim Richards, Brandon Miller, Paul Darnell, Omar Dorsey, Dennis Hayden, Suzanne Krull, Steve Rosenbaum, Andrew Shaifer, Bryan Fogel, Bob Koherr, Sam Wolfson, Beth Kennedy, Corri English, Jonathan Slavin, Kevin Christy, Meredith Salenger",2009,PG,99 min,Children & Family Movies,Movie
Saving Mr. Banks,"United States, United Kingdom, Australia","March 2, 2019",,,"United States, United Kingdom, Australia","November 12, 2019",,,John Lee Hancock,"Emma Thompson, Tom Hanks, Paul Giamatti, Jason Schwartzman, Colin Farrell, Bradley Whitford, Annie Buckley, Ruth Wilson, B.J. Novak, Rachel Griffiths, Kathy Baker, Melanie Paxson, Andy McPhee, Jerry Hauck, Mia Serafino, Michelle Arthur, Demetrius Grosse, Steven Cabral, David Ross Paterson, Ronan Vibert, Luke Baines, Dendrie Taylor, Laura Waddell, Paul Tassone",2013,PG-13,126 min,"Comedies, Dramas",Movie
Solo: A Star Wars Story,United States,"January 9, 2019",,,United States,"July 10, 2020",,,Ron Howard,"Alden Ehrenreich, Woody Harrelson, Emilia Clarke, Donald Glover, Joonas Suotamo, Thandie Newton, Phoebe Waller-Bridge, Paul Bettany",2018,PG-13,135 min,"Action & Adventure, Children & Family Movies, Sci-Fi & Fantasy",Movie
Spider-Man 3,United States,"November 1, 2019",,,United States,"May 3, 2021",,,Sam Raimi,"Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church, Topher Grace, Bryce Dallas Howard, Rosemary Harris, J.K. Simmons, James Cromwell, Theresa Russell, Dylan Baker, Bill Nunn, Bruce Campbell, Elizabeth Banks",2007,PG-13,139 min,"Action & Adventure, Sci-Fi & Fantasy",Movie
Tarzan,United States,"June 23, 2018",,,United States,"June 26, 2020",,,"Chris Buck, Kevin Lima","Tony Goldwyn, Minnie Driver, Glenn Close, Brian Blessed, Nigel Hawthorne, Rosie O'Donnell, Lance Henriksen, Wayne Knight, Alex D. Linz",1999,G,89 min,Children & Family Movies,Movie
Tarzan 2,United States,"June 23, 2017",,,United States,"June 26, 2020",,,Brian Smith,"Harrison Chad, George Carlin, Brad Garrett, Ron Perlman, Estelle Harris, Glenn Close, Lance Henriksen, Brenda Grate, Harrison Fahn",2005,G,72 min,Children & Family Movies,Movie
